OBJECT_NAME,FIELD_NAME,OBJECT_LABEL,FIELD_LABEL,FIELD_TYPE,FIELD_LENGTH,CREATEABLE,CALCULATED,PICKLIST,REFERENCE
"McLabs2__Unit_Mix__c","Id","Unit Mix","Record ID","id","18","false","false","",""
"McLabs2__Unit_Mix__c","Name","Unit Mix","Unit Mix","string","80","false","false","",""
"McLabs2__Unit_Mix__c","OwnerId","Unit Mix","Owner ID","reference","18","true","false","","GroupUser"
"McLabs2__Unit_Mix__c","CreatedDate","Unit Mix","Created Date","datetime","0","false","false","",""
"McLabs2__Unit_Mix__c","CreatedById","Unit Mix","Created By ID","reference","18","false","false","","User"
"McLabs2__Unit_Mix__c","SystemModstamp","Unit Mix","System Modstamp","datetime","0","false","false","",""
"McLabs2__Unit_Mix__c","LastModifiedById","Unit Mix","Last Modified By ID","reference","18","false","false","","User"
"McLabs2__Unit_Mix__c","LastModifiedDate","Unit Mix","Last Modified Date","datetime","0","false","false","",""
"McLabs2__Unit_Mix__c","IsDeleted","Unit Mix","Deleted","boolean","0","false","false","",""
"McLabs2__Unit_Mix__c","McLabs2__Monthly_Rent__c","Unit Mix","Monthly Rent","currency","0","true","false","",""
"McLabs2__Unit_Mix__c","McLabs2__Number_of_Units__c","Unit Mix","Number of Units","double","0","true","false","",""
"McLabs2__Unit_Mix__c","McLabs2__Unit_SF__c","Unit Mix","Unit SF","double","0","true","false","",""
"McLabs2__Unit_Mix__c","McLabs2__Monthly_Rent_SF__c","Unit Mix","Monthly Rent/SF","currency","0","false","true","",""
"McLabs2__Unit_Mix__c","McLabs2__Unit_Type__c","Unit Mix","Unit Type","picklist","255","true","false","1Bdr/1Bath|2Bdr/1Bath|2Bdr/2Bath|3Bdr/1Bath|3Bdr/2Bath|3Bdr/3Bath|Studio|Bachelor|Efficency",""
"McLabs2__Unit_Mix__c","Number_of_Units__c","Unit Mix","Number of Units","double","0","true","false","",""
"McLabs2__Unit_Mix__c","McLabs2__External_ID__c","Unit Mix","External ID","string","99","true","false","",""
"McLabs2__Unit_Mix__c","McLabs2__Property__c","Unit Mix","Property","reference","18","true","false","","McLabs2__Property__c"
"McLabs2__Unit_Mix__c","McLabs2__Import_Batch_ID__c","Unit Mix","Import Batch ID","string","18","true","false","",""
"McLabs2__Unit_Mix__c","McLabs2__Monthly_Rent_High__c","Unit Mix","Monthly Rent- High","currency","0","true","false","",""
"McLabs2__Unit_Mix__c","McLabs2__Unit_SF_High__c","Unit Mix","Unit SF- High","double","0","true","false","",""
"McLabs2__Unit_Mix__c","McLabs2__Imported_Date__c","Unit Mix","Imported Date","date","0","true","false","",""
"McLabs2__Sign__c","IsDeleted","Sign","Deleted","boolean","0","false","false","",""
"McLabs2__Sign__c","Id","Sign","Record ID","id","18","false","false","",""
"McLabs2__Sign__c","CreatedDate","Sign","Created Date","datetime","0","false","false","",""
"McLabs2__Sign__c","Name","Sign","Sign Name","string","80","false","false","",""
"McLabs2__Sign__c","CreatedById","Sign","Created By ID","reference","18","false","false","","User"
"McLabs2__Sign__c","LastModifiedById","Sign","Last Modified By ID","reference","18","false","false","","User"
"McLabs2__Sign__c","SystemModstamp","Sign","System Modstamp","datetime","0","false","false","",""
"McLabs2__Sign__c","LastModifiedDate","Sign","Last Modified Date","datetime","0","false","false","",""
"McLabs2__Sign__c","McLabs2__Listing__c","Sign","Listing","reference","18","true","false","","McLabs2__Listing__c"
"McLabs2__Sign__c","McLabs2__Quantity__c","Sign","Quantity","double","0","true","false","",""
"McLabs2__Sign__c","McLabs2__Deployed__c","Sign","Deployed","boolean","0","true","false","",""
"McLabs2__Sign__c","McLabs2__Location__c","Sign","Location","string","1300","false","true","",""
"McLabs2__Sign__c","McLabs2__Type__c","Sign","Type","picklist","255","true","false","Banner|Plywood|Window",""
"McLabs2__Sign__c","McLabs2__Imported_Date__c","Sign","Imported Date","date","0","true","false","",""
"McLabs2__Sign__c","McLabs2__Import_Batch_ID__c","Sign","Import Batch ID","string","18","true","false","",""
"McLabs2__Group__c","OwnerId","Contact Group","Owner ID","reference","18","true","false","","GroupUser"
"McLabs2__Group__c","IsDeleted","Contact Group","Deleted","boolean","0","false","false","",""
"McLabs2__Group__c","CreatedDate","Contact Group","Created Date","datetime","0","false","false","",""
"McLabs2__Group__c","CreatedById","Contact Group","Created By ID","reference","18","false","false","","User"
"McLabs2__Group__c","LastModifiedDate","Contact Group","Last Modified Date","datetime","0","false","false","",""
"McLabs2__Group__c","LastModifiedById","Contact Group","Last Modified By ID","reference","18","false","false","","User"
"McLabs2__Group__c","Name","Contact Group","Group Name","string","80","true","false","",""
"McLabs2__Group__c","SystemModstamp","Contact Group","System Modstamp","datetime","0","false","false","",""
"McLabs2__Group__c","LastViewedDate","Contact Group","Last Viewed Date","datetime","0","false","false","",""
